set term gif size 8000, 8000 font "Times-Roman,90"
set output "chen_traj_img.gif"
set xlabel "x"
set ylabel "y"
set zlabel "z"
set xrange [-40:40]
set yrange [-40:40]
set zrange [0:60]
splot '-' with line
-10.61029902 -10.49151579 24.81841708
-10.61009953 -10.48942701 24.82017129
-10.60989691 -10.4873351 24.8219239
-10.60969117 -10.48524006 24.8236749
-10.6094823 -10.48314189 24.8254243
-10.60927031 -10.48104059 24.82717208
-10.6090552 -10.47893617 24.82891825
-10.60883696 -10.47682863 24.83066281
-10.6086156 -10.47471796 24.83240575
-10.60839113 -10.47260417 24.83414707
-10.60816353 -10.47048727 24.83588677
-10.60793281 -10.46836725 24.83762484
-10.60769898 -10.46624411 24.83936129
-10.60746202 -10.46411787 24.8410961
-10.60722195 -10.46198851 24.84282929
-10.60697877 -10.45985605 24.84456085
-10.60673247 -10.45772048 24.84629076
-10.60648305 -10.4555818 24.84801904
-10.60623052 -10.45344002 24.84974568
-10.60597487 -10.45129515 24.85147068
-10.60571611 -10.44914717 24.85319403
-10.60545424 -10.4469961 24.85491574
-10.60518926 -10.44484193 24.85663579
-10.60492116 -10.44268467 24.8583542
-10.60464996 -10.44052432 24.86007095
-10.60437565 -10.43836089 24.86178604
-10.60409822 -10.43619436 24.86349948
-10.60381769 -10.43402475 24.86521125
-10.60353405 -10.43185206 24.86692136
-10.60324731 -10.42967628 24.86862981
-10.60295746 -10.42749743 24.87033659
-10.6026645 -10.4253155 24.87204169
-10.60236844 -10.42313049 24.87374513
-10.60206927 -10.42094242 24.87544689
-10.601767 -10.41875127 24.87714698
-10.60146163 -10.41655705 24.87884538
-10.60115316 -10.41435976 24.88054211
-10.60084158 -10.41215941 24.88223715
-10.6005269 -10.40995599 24.88393051
-10.60020913 -10.40774952 24.88562218
-10.59988825 -10.40553998 24.88731216
-10.59956428 -10.40332739 24.88900044
-10.59923721 -10.40111174 24.89068704
-10.59890704 -10.39889303 24.89237193
-10.59857377 -10.39667128 24.89405513
-10.59823741 -10.39444647 24.89573662
-10.59789796 -10.39221862 24.89741642
-10.59755541 -10.38998772 24.8990945
-10.59720976 -10.38775378 24.90077088
-10.59686103 -10.3855168 24.90244555
-10.5965092 -10.38327677 24.90411851
-10.59615428 -10.38103371 24.90578975
-10.59579627 -10.37878761 24.90745928
-10.59543517 -10.37653848 24.90912709
-10.59507098 -10.37428632 24.91079318
-10.5947037 -10.37203112 24.91245754
-10.59433333 -10.3697729 24.91412018
-10.59395988 -10.36751165 24.91578109
-10.59358334 -10.36524738 24.91744028
-10.59320371 -10.36298009 24.91909773
-10.592821 -10.36070977 24.92075345
-10.5924352 -10.35843644 24.92240743
-10.59204633 -10.35616009 24.92405967
-10.59165436 -10.35388073 24.92571017
-10.59125932 -10.35159836 24.92735894
-10.59086119 -10.34931297 24.92900595
-10.59045999 -10.34702458 24.93065122
-10.5900557 -10.34473318 24.93229474
-10.58964834 -10.34243878 24.93393651
-10.58923789 -10.34014137 24.93557653
-10.58882437 -10.33784097 24.93721479
-10.58840777 -10.33553756 24.9388513
-10.5879881 -10.33323116 24.94048604
-10.58756535 -10.33092177 24.94211902
-10.58713952 -10.32860938 24.94375024
-10.58671063 -10.32629401 24.9453797
-10.58627865 -10.32397564 24.94700738
-10.58584361 -10.32165429 24.9486333
-10.58540549 -10.31932996 24.95025745
-10.5849643 -10.31700264 24.95187982
-10.58452004 -10.31467234 24.95350041
-10.58407271 -10.31233907 24.95511922
-10.58362232 -10.31000282 24.95673626
-10.58316885 -10.30766359 24.95835151
-10.58271232 -10.30532139 24.95996498
-10.58225272 -10.30297623 24.96157666
-10.58179005 -10.30062809 24.96318655
-10.58132432 -10.29827699 24.96479465
-10.58085552 -10.29592292 24.96640096
-10.58038366 -10.2935659 24.96800548
-10.57990874 -10.29120591 24.96960819
-10.57943075 -10.28884296 24.97120911
-10.57894971 -10.28647706 24.97280823
-10.5784656 -10.28410821 24.97440554
-10.57797843 -10.2817364 24.97600105
-10.5774882 -10.27936164 24.97759475
-10.57699492 -10.27698394 24.97918664
-10.57649858 -10.27460329 24.98077672
-10.57599917 -10.27221969 24.98236498
-10.57549672 -10.26983316 24.98395143
-10.5749912 -10.26744368 24.98553607
-10.57448264 -10.26505127 24.98711888
-10.57397102 -10.26265592 24.98869987
-10.57345634 -10.26025764 24.99027904
-10.57293861 -10.25785643 24.99185638
-10.57241783 -10.25545228 24.9934319
-10.571894 -10.25304521 24.99500559
-10.57136712 -10.25063522 24.99657744
-10.57083719 -10.2482223 24.99814746
-10.57030421 -10.24580646 24.99971564
-10.56976819 -10.2433877 25.00128199
-10.56922911 -10.24096602 25.0028465
-10.56868699 -10.23854143 25.00440916
-10.56814183 -10.23611392 25.00596999
-10.56759361 -10.23368351 25.00752896
-10.56704236 -10.23125018 25.00908609
-10.56648806 -10.22881395 25.01064137
-10.56593072 -10.22637481 25.0121948
-10.56537033 -10.22393277 25.01374637
-10.56480691 -10.22148783 25.01529609
-10.56424044 -10.21903999 25.01684395
-10.56367094 -10.21658926 25.01838995
-10.56309839 -10.21413563 25.01993409
-10.56252281 -10.2116791 25.02147637
-10.56194419 -10.20921969 25.02301678
-10.56136254 -10.20675739 25.02455532
-10.56077784 -10.2042922 25.026092
-10.56019012 -10.20182413 25.0276268
-10.55959936 -10.19935317 25.02915973
-10.55900556 -10.19687934 25.03069079
-10.55840873 -10.19440263 25.03221997
-10.55780888 -10.19192304 25.03374727
-10.55720599 -10.18944057 25.03527268
-10.55660006 -10.18695524 25.03679622
-10.55599111 -10.18446703 25.03831787
-10.55537914 -10.18197596 25.03983764
-10.55476413 -10.17948202 25.04135551
-10.55414609 -10.17698522 25.0428715
-10.55352503 -10.17448556 25.04438559
-10.55290095 -10.17198304 25.04589779
-10.55227384 -10.16947766 25.04740809
-10.5516437 -10.16696942 25.04891649
-10.55101054 -10.16445834 25.050423
-10.55037436 -10.1619444 25.0519276
-10.54973516 -10.15942761 25.0534303
-10.54909293 -10.15690797 25.05493109
-10.54844769 -10.15438549 25.05642998
-10.54779943 -10.15186017 25.05792695
-10.54714814 -10.14933201 25.05942202
-10.54649384 -10.14680101 25.06091517
-10.54583653 -10.14426717 25.0624064
-10.54517619 -10.1417305 25.06389572
-10.54451285 -10.13919099 25.06538312
-10.54384648 -10.13664866 25.0668686
-10.54317711 -10.13410349 25.06835216
-10.54250472 -10.13155551 25.06983379
-10.54182931 -10.12900469 25.07131349
-10.5411509 -10.12645106 25.07279127
-10.54046947 -10.1238946 25.07426712
